Time,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,WeekOf
5AM,,,,,,,,
7AM,,,,,,,,
9AM,,,,,,,,
1PM,,,,,,,,
4PM,,,,,,,,
5PM,,,,,,,,
